no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets
3,1,1,1500000,5100000,6,352,900000,1,5900000
1,0,0,7800000,18100000,2,712,9000000,0,41500000
2,1,0,9100000,24900000,16,822,5200000,0,65400000
3,0,0,1400000,3400000,6,540,800000,1,5600000
2,0,1,800000,2300000,12,342,800000,1,5300000
5,0,0,6500000,13400000,18,787,5400000,0,34700000
4,0,0,8000000,27800000,16,331,10900000,1,40700000
3,1,1,4200000,14600000,6,679,4900000,0,18000000
1,0,1,4900000,19100000,14,677,6500000,0,32200000
3,1,0,5500000,20500000,12,634,8200000,0,27900000
1,1,1,9500000,19100000,16,662,11700000,0,48300000
4,0,0,7300000,25400000,16,502,10500000,1,22800000
2,0,0,8700000,24700000,10,435,11300000,1,32100000
5,1,0,3800000,7600000,4,689,3400000,0,18100000
1,1,1,8400000,23000000,12,657,8200000,0,62100000
2,0,1,5100000,19700000,20,590,3400000,0,36100000
5,1,0,6700000,24500000,12,818,6200000,0,23100000
2,1,0,4300000,10600000,18,431,5200000,1,12900000
5,0,1,9300000,30500000,18,841,8700000,0,64200000
1,0,0,7400000,18400000,20,421,4100000,1,45100000
4,1,1,5500000,18200000,16,797,4800000,0,23400000
2,1,0,8500000,18900000,18,478,11400000,1,66000000
3,1,1,9600000,30500000,18,669,9300000,0,33100000
5,1,1,8800000,28900000,6,365,4700000,1,60400000
3,1,1,3300000,7500000,20,586,2900000,0,17700000
4,0,1,3900000,12300000,18,784,2800000,0,27600000
1,0,0,4100000,10300000,12,364,2800000,1,30500000
3,1,0,8300000,29100000,10,715,11900000,0,42100000
0,1,1,2700000,10100000,20,693,1400000,1,7800000
4,0,0,5600000,12400000,4,777,5500000,0,20400000
0,0,0,1900000,5000000,12,312,2400000,1,11700000
4,1,1,500000,1500000,20,340,600000,1,2200000
5,0,1,5300000,18600000,4,386,4200000,0,24300000
5,1,0,7000000,18300000,4,418,7600000,1,51600000
3,1,1,5800000,16700000,16,735,5600000,0,25900000
2,1,0,2600000,8400000,6,494,2000000,1,15900000
2,1,0,1900000,6500000,18,671,1100000,0,7900000
4,0,0,5700000,14800000,16,697,6300000,0,35000000
0,0,0,9000000,33500000,8,801,11100000,0,55900000
2,1,0,8500000,29400000,12,576,9000000,0,48400000
0,1,0,700000,1400000,14,639,900000,0,5000000
4,0,0,3500000,8900000,4,470,2000000,1,15800000
0,1,0,8800000,31200000,4,826,8600000,0,36700000
2,1,1,9900000,21200000,16,363,6800000,1,63500000
3,0,0,3600000,8600000,20,613,3300000,0,20000000
3,1,1,3000000,8200000,16,713,3400000,0,22100000
2,0,0,6800000,21200000,16,439,3600000,1,45100000
5,1,1,1100000,3800000,18,387,1600000,1,6300000
1,1,1,8700000,28300000,8,402,10200000,1,61900000
4,0,1,2000000,8000000,6,837,2900000,0,11600000
2,1,0,9800000,37600000,10,641,7600000,0,47500000
4,0,0,5700000,21100000,18,489,6000000,1,17300000
4,0,0,8800000,20700000,18,540,12700000,1,44800000
4,0,0,3800000,8900000,4,844,4700000,0,25700000
1,0,0,1700000,6400000,10,452,2100000,1,7600000
2,0,0,1000000,2000000,10,366,1300000,1,4800000
5,0,0,300000,1100000,2,300,400000,0,1300000
2,0,1,6600000,15000000,18,470,7000000,1,24200000
2,1,0,8700000,25000000,20,861,7300000,0,46400000
4,0,0,9400000,29400000,12,562,7100000,0,77500000
0,0,0,4400000,10800000,14,463,4700000,1,21000000
4,1,0,400000,900000,12,478,100000,1,2000000
2,1,1,300000,1100000,2,702,200000,0,1000000
2,1,1,4300000,12900000,20,618,2400000,0,26400000
4,0,0,1600000,4500000,12,633,1900000,0,6500000
5,1,1,6200000,23600000,10,331,8700000,1,52600000
3,1,1,4200000,9700000,16,841,5100000,0,24800000
4,1,1,9000000,18100000,12,764,11600000,0,37900000
0,0,0,2700000,10600000,6,591,1800000,0,13900000
1,0,1,9700000,35900000,2,719,10900000,0,47600000
2,0,0,3300000,6800000,14,317,3600000,1,15400000
0,1,0,300000,1100000,8,778,100000,0,1900000
3,0,1,7400000,18200000,14,302,5000000,1,26600000
5,1,0,7100000,19700000,8,502,9800000,1,38200000
5,1,1,7300000,22100000,18,879,9800000,0,49400000
1,1,0,8400000,23400000,14,437,8100000,1,54600000
0,1,1,3300000,10800000,12,797,3300000,0,14300000
4,1,1,5800000,23200000,18,456,7500000,1,42900000
0,1,0,600000,1600000,6,647,700000,0,3600000
0,1,0,7200000,15800000,12,379,3600000,1,46400000
1,1,1,9100000,32900000,2,717,5900000,0,27800000
5,0,0,900000,2300000,16,545,800000,1,3000000
2,0,0,800000,3200000,8,317,900000,1,3300000
1,1,0,8500000,32900000,10,570,5500000,0,31800000
0,1,1,9000000,18700000,18,865,11300000,0,47700000
3,0,0,7000000,19500000,14,719,10200000,0,40700000
3,0,0,200000,600000,16,821,100000,0,1000000
4,1,1,400000,800000,10,859,200000,0,2200000
3,1,0,5100000,18200000,10,395,6300000,1,23600000
2,1,1,700000,2600000,12,429,800000,1,5600000
3,0,0,400000,1200000,12,861,200000,0,1900000
0,1,1,9500000,20800000,14,565,13400000,0,60900000
5,0,0,8800000,22600000,10,357,4900000,1,34700000
3,1,1,1800000,3600000,18,465,2600000,1,6500000
4,1,1,6800000,13900000,8,479,9600000,1,46500000
3,1,0,1500000,5500000,16,717,1300000,0,7300000
3,0,0,1600000,5500000,12,425,900000,1,6800000
2,1,0,4600000,16700000,2,786,6100000,0,20000000
5,1,1,2200000,6700000,6,382,1100000,1,14300000
3,1,1,2900000,8500000,12,564,1800000,0,11600000
0,0,0,200000,700000,8,501,100000,1,1400000
2,1,1,2500000,9400000,10,727,3300000,0,20200000
4,1,0,3600000,7500000,6,894,2800000,0,15000000
0,0,1,5500000,16700000,18,829,5900000,0,19600000
4,1,0,6600000,17400000,20,506,7200000,1,38500000
2,0,1,8600000,32100000,6,802,9800000,0,50600000
5,1,0,600000,1500000,14,543,300000,1,3300000
3,0,1,1400000,3200000,20,772,1600000,0,8400000
3,0,0,4000000,11100000,12,572,2400000,0,22300000
0,1,1,4900000,11900000,16,709,3800000,0,34000000
5,0,0,2000000,6200000,18,402,1100000,1,13300000
1,1,1,5200000,19300000,8,481,4200000,1,42600000
5,0,1,8900000,28800000,6,772,8400000,0,39500000
1,0,1,6500000,20600000,2,306,3200000,0,35900000
2,1,0,1300000,4500000,6,415,1200000,1,3800000
3,1,0,9400000,35000000,16,548,4800000,1,58700000
5,1,0,5000000,11200000,8,701,4600000,0,23600000
2,0,0,3000000,7700000,12,890,2100000,0,17400000
5,1,1,9900000,33300000,6,364,8300000,1,51800000
5,0,1,700000,1300000,20,704,600000,0,3800000
3,0,1,4000000,10600000,10,318,4900000,1,14600000
5,1,0,3100000,9600000,2,761,4200000,0,18000000
4,1,0,4500000,15100000,6,693,6000000,0,23000000
3,1,0,9700000,20600000,16,524,6100000,1,62700000
2,1,1,2000000,5300000,10,681,2900000,0,10600000
2,0,1,8100000,22300000,18,737,7300000,0,61900000
0,1,0,5700000,15900000,16,638,4500000,0,25900000
4,1,0,5800000,12800000,2,656,2800000,0,21500000
1,0,0,1800000,6500000,6,540,1100000,1,10700000
4,1,1,9100000,35200000,6,341,8200000,1,24400000
0,1,1,4800000,17500000,2,371,3500000,0,37200000
3,1,1,3800000,10500000,12,886,2300000,0,19400000
0,1,0,1900000,4100000,18,801,1200000,0,6000000
3,1,1,3600000,9500000,16,748,2600000,0,19800000
2,1,1,7400000,28200000,8,376,5200000,1,44300000
4,1,1,6600000,14300000,8,371,7400000,1,38800000
2,0,0,1800000,5300000,6,826,1300000,0,11700000
4,1,0,9200000,27200000,12,873,11400000,0,40100000
5,1,1,2400000,8600000,8,309,2800000,1,6800000
4,1,0,5600000,13300000,20,869,6500000,0,30800000
5,0,0,3800000,13900000,12,534,2800000,1,15800000
3,1,1,4500000,17900000,6,787,4200000,0,27700000
0,0,1,900000,2200000,16,566,600000,0,2800000
0,1,0,2800000,9900000,8,742,1700000,0,12900000
2,1,0,7500000,23100000,4,824,9500000,0,49300000
4,0,0,1400000,3100000,14,575,1400000,0,10000000
2,0,1,3800000,10900000,10,766,3000000,0,14400000
1,1,1,1700000,5000000,10,888,2200000,0,7900000
3,0,1,9000000,30400000,6,638,9200000,0,54700000
5,1,1,7300000,23300000,6,622,10500000,0,45100000
1,1,0,7400000,19800000,18,458,4000000,1,46500000
1,1,0,9000000,28200000,16,327,11200000,1,28000000
0,1,0,3000000,6500000,2,612,1700000,0,18900000
1,0,0,800000,2900000,8,682,700000,0,6200000
2,0,0,4800000,13200000,2,583,5200000,0,29000000
5,1,0,6400000,18300000,8,697,3600000,0,36100000
3,0,0,9200000,27100000,12,306,9600000,1,45300000
4,1,1,400000,1500000,2,669,500000,0,1400000
2,1,0,2800000,6000000,18,816,3400000,0,18500000
4,1,1,8500000,28900000,20,455,9400000,1,43500000
3,0,1,4700000,16400000,10,318,4300000,1,35700000
4,1,1,9800000,21200000,20,355,14400000,1,62700000
2,1,1,3800000,8900000,16,389,2200000,1,18000000
2,0,0,500000,1500000,2,888,600000,0,3300000
2,0,1,6900000,15600000,6,352,10000000,1,40900000
4,1,1,9600000,30100000,12,870,5600000,0,45200000
3,1,0,2900000,6500000,18,827,3200000,0,19300000
2,0,0,9800000,20900000,12,768,13400000,0,52200000
0,0,0,7100000,15400000,18,707,5800000,0,40700000
1,1,1,7700000,19100000,10,355,6600000,1,38100000
3,0,0,1400000,3300000,2,652,1900000,0,5700000
3,0,0,7800000,15900000,2,665,5400000,0,42500000
5,1,1,1700000,6000000,18,420,2300000,1,5800000
2,1,0,8500000,32700000,18,471,12500000,1,55900000
5,1,0,1900000,7500000,20,715,2800000,0,14400000
2,1,1,6700000,15200000,10,689,6800000,0,23200000
3,0,1,6900000,16400000,4,787,3800000,0,43600000
2,0,0,2600000,7800000,4,819,1500000,0,13100000
4,0,1,9600000,21100000,6,809,8700000,0,60300000
1,1,1,6800000,17000000,2,744,3500000,0,43100000
0,1,0,3200000,11300000,6,484,2100000,1,17500000
4,1,0,2900000,10400000,6,673,1700000,0,17400000
3,0,1,7900000,21200000,18,695,4900000,0,46200000
4,1,1,3900000,12400000,12,473,3800000,1,24200000
4,0,1,4600000,11000000,2,491,3500000,1,29100000
3,1,1,700000,1700000,8,733,500000,0,4400000
0,1,0,5200000,15600000,20,434,5500000,1,38000000
3,1,1,5900000,20600000,10,777,6400000,0,27700000
4,0,0,7200000,19100000,4,774,3600000,0,34300000
1,1,1,8700000,27000000,10,717,9100000,0,51600000
3,1,1,1100000,3500000,12,503,1200000,1,5600000
1,0,1,4000000,10900000,14,598,4400000,0,23800000
2,0,0,9800000,32400000,2,543,7700000,0,67400000
0,1,1,2700000,6800000,20,796,1900000,0,11900000
3,1,1,8800000,34600000,8,386,6000000,1,49700000
5,1,1,3300000,7800000,16,632,4900000,0,16100000
1,0,1,6900000,23400000,4,481,10200000,0,43200000
3,0,1,900000,3500000,4,770,600000,1,2700000
3,0,1,4100000,15500000,6,667,4000000,0,19100000
3,1,1,4700000,17500000,8,585,4900000,0,13900000
5,0,1,3400000,11600000,16,479,2400000,1,26100000
2,0,0,9600000,22500000,18,851,12700000,0,47900000
3,1,1,7000000,16200000,6,378,5500000,1,52900000
5,0,0,5700000,12900000,18,807,5500000,0,23600000
1,1,1,8200000,32400000,18,831,7800000,0,52800000
2,1,0,2100000,5100000,12,674,2400000,0,11800000
1,1,1,8000000,28100000,18,725,7500000,0,37700000
2,1,0,8000000,29300000,4,600,6500000,0,59100000
0,1,1,9400000,27000000,10,536,4800000,1,39900000
0,0,0,8400000,20600000,10,477,11900000,1,28000000
1,1,1,1900000,5000000,6,560,1400000,0,9200000
0,1,1,4200000,16400000,20,539,3100000,1,23000000
5,0,0,2600000,9100000,8,852,3300000,0,14700000
3,1,0,3700000,8500000,20,853,4900000,0,21500000
0,0,0,8800000,30900000,12,729,11400000,0,28100000
2,1,0,2100000,4700000,2,546,1500000,1,14900000
3,0,1,900000,2400000,10,489,500000,1,3600000
3,0,1,9800000,35400000,6,869,10300000,0,53600000
2,1,0,8000000,20000000,2,502,9900000,1,37900000
0,0,0,9800000,38800000,8,652,5400000,0,71900000
0,1,1,300000,1100000,8,789,400000,0,1300000
4,1,0,2700000,8100000,4,325,3400000,0,15700000
3,0,1,7400000,19600000,2,716,4200000,0,42100000
3,0,0,9200000,34300000,18,523,8800000,1,58700000
5,1,0,9500000,22200000,20,352,7000000,1,55300000
5,0,1,3800000,14400000,2,345,4700000,0,17100000
0,0,0,8300000,19400000,18,649,11300000,0,42900000
2,0,1,2800000,7400000,18,666,3400000,0,8700000
0,0,0,8600000,20900000,10,813,4800000,0,49200000
0,1,0,5400000,16800000,10,599,7600000,0,27200000
5,0,1,4200000,9400000,6,678,5700000,0,20100000
5,1,0,5200000,12200000,20,513,5400000,1,32200000
5,0,0,9400000,27900000,4,870,10400000,0,30800000
3,0,0,8800000,20400000,8,483,11800000,1,42800000
1,0,1,5900000,16700000,16,308,5300000,1,33700000
3,0,1,1700000,4900000,16,591,1400000,0,10000000
1,1,0,7000000,23000000,10,886,3600000,0,44400000
4,1,0,1700000,4000000,6,829,1700000,0,6800000
0,1,0,1500000,4900000,12,651,800000,0,9000000
4,1,0,2000000,4700000,18,733,2800000,0,14400000
5,0,1,3900000,15500000,12,433,4600000,1,22800000
1,0,1,900000,3600000,14,713,1200000,0,4100000
1,0,0,6900000,22500000,18,403,6300000,1,26100000
0,0,1,2800000,7800000,10,405,3400000,1,17400000
3,0,1,6800000,19900000,10,516,8500000,1,48000000
4,1,1,600000,1800000,8,417,800000,1,4200000
1,1,0,4700000,14000000,6,468,4600000,1,23700000
5,0,1,3000000,11800000,10,672,4100000,0,22100000
5,1,0,4000000,13900000,6,530,6000000,1,24100000
1,1,1,3100000,11300000,14,824,4400000,0,20700000
1,1,1,7700000,25500000,12,549,7000000,1,49200000
5,1,1,4300000,9300000,10,450,4100000,1,18800000
1,0,1,5800000,19500000,20,431,3300000,1,34400000
3,0,1,3600000,10700000,16,312,5200000,1,17000000
0,1,1,2900000,7600000,8,320,3100000,1,23200000
0,0,0,8800000,20200000,4,433,12400000,1,50700000
1,1,1,300000,1000000,10,431,100000,1,1800000
5,1,1,8600000,28900000,8,516,6800000,1,41900000
2,1,1,3500000,12000000,14,476,2900000,1,20300000
5,0,0,800000,2600000,6,560,1000000,0,3300000
2,0,0,8000000,27100000,12,674,6400000,0,40100000
0,1,1,9900000,38200000,6,573,5900000,0,47300000
2,1,0,3300000,6600000,6,331,2700000,1,17200000
4,0,1,2000000,6700000,12,633,2000000,0,5700000
3,1,0,4900000,12900000,18,877,3300000,0,26700000
5,1,1,9200000,23600000,12,656,4900000,0,49000000
0,1,0,7500000,18200000,6,782,4100000,0,39200000
5,1,0,9000000,29300000,4,531,5800000,0,55400000
3,1,0,1400000,4100000,8,455,2100000,1,7300000
3,0,0,9600000,19900000,14,452,6600000,1,48900000
2,0,0,8400000,33200000,14,474,11500000,1,60000000
3,1,0,6400000,24400000,4,483,4500000,0,29300000
4,0,0,5900000,16800000,8,481,3300000,1,37800000
2,0,1,2200000,5100000,20,859,3100000,0,11400000
4,0,1,5600000,14100000,14,696,6800000,0,34700000
4,1,0,9800000,28700000,6,778,11100000,0,53700000
4,0,0,4400000,14600000,4,499,5700000,0,23900000
2,1,1,2400000,4900000,4,888,3400000,0,15800000
1,0,0,4400000,10800000,12,674,5300000,0,29500000
4,0,0,3700000,13200000,4,802,4300000,0,24700000
4,1,1,2300000,7800000,8,540,2800000,1,9600000
4,0,1,5900000,19600000,8,726,8000000,0,44300000
4,1,1,6400000,23500000,2,485,3900000,0,33600000
4,0,1,4900000,17100000,6,612,5000000,0,27800000
3,1,1,9500000,24200000,8,879,12700000,0,46700000
2,1,0,5700000,16400000,12,708,4400000,0,19500000
2,1,1,2700000,5700000,8,850,3900000,0,19000000
2,1,1,3900000,11300000,12,516,4600000,1,13500000
0,1,0,7800000,28800000,12,465,7400000,1,41000000
0,0,0,1100000,3200000,20,716,1500000,0,6800000
4,1,0,200000,600000,10,404,0,1,500000
0,1,1,4700000,10600000,20,512,7000000,1,24700000
3,1,1,8200000,20600000,10,441,6100000,1,56600000
2,1,1,4600000,18400000,2,555,4200000,0,24300000
5,1,0,1800000,7000000,18,466,1900000,1,10700000
3,0,1,3200000,8600000,2,427,4700000,1,12800000
4,1,1,5500000,20000000,14,593,4900000,0,37700000
3,0,0,7900000,18300000,10,731,8400000,0,29800000
1,0,1,4000000,10100000,16,451,3900000,1,25200000
3,1,1,6800000,16900000,18,628,4900000,0,20100000
1,1,0,2700000,9400000,18,704,2400000,0,14000000
2,1,0,6800000,23500000,12,341,8500000,1,45400000
5,0,0,8600000,21000000,8,465,9900000,1,46100000
4,0,0,8000000,30100000,4,431,11500000,0,44500000
1,0,1,3700000,12600000,10,424,4400000,1,20700000
0,0,0,2600000,5100000,14,678,3100000,0,7700000
4,0,0,4200000,16800000,6,381,5900000,1,28200000
5,0,1,8000000,28000000,10,449,3900000,1,37400000
1,1,0,7100000,23500000,12,768,7300000,0,40900000
0,1,0,2000000,7000000,6,666,1400000,1,5500000
4,1,1,5800000,13300000,14,742,7000000,0,41700000
3,1,1,6700000,15800000,4,445,9100000,1,32200000
2,0,0,7300000,28700000,14,634,10800000,0,30900000
4,1,0,3300000,9700000,14,782,2200000,0,12900000
0,0,0,3000000,7000000,10,781,2700000,0,19500000
4,1,0,7900000,17200000,14,318,9000000,1,46900000
5,1,0,7600000,24100000,18,721,7200000,0,56300000
5,1,0,3700000,9800000,4,563,3000000,0,25800000
2,1,0,8400000,26300000,4,419,6200000,0,60000000
0,0,1,8200000,20800000,14,372,5200000,1,30000000
0,1,0,2900000,9500000,18,885,3500000,0,13100000
1,1,1,9900000,38400000,12,596,6800000,0,55800000
0,0,0,4400000,14100000,2,349,6200000,0,13400000
1,1,1,9000000,32200000,16,468,10900000,1,49500000
3,1,1,6800000,26900000,16,818,7300000,0,51400000
2,1,0,8700000,28000000,12,543,6700000,1,45800000
3,0,0,9400000,21900000,16,685,5000000,0,48200000
3,1,1,6000000,12500000,18,851,5000000,0,36400000
1,1,1,9400000,29800000,10,377,11700000,1,73500000
0,1,1,1000000,4000000,10,620,1100000,0,7400000
3,0,1,900000,2300000,20,611,500000,0,4000000
4,1,0,2100000,7700000,4,767,1300000,0,9800000
5,0,1,1100000,3200000,20,592,500000,0,7400000
0,0,1,600000,2300000,4,319,700000,0,4700000
4,1,1,9200000,25500000,10,900,12800000,0,47300000
2,1,1,3600000,12800000,18,814,4100000,0,23000000
5,1,1,1300000,5000000,10,755,1900000,0,9100000
5,0,1,7700000,16800000,20,584,8000000,0,36800000
4,0,1,9500000,23500000,14,380,7300000,1,54700000
2,1,1,5000000,17600000,20,465,5200000,1,27900000
0,1,0,500000,1800000,2,531,700000,0,3700000
1,0,1,8300000,32100000,16,814,7500000,0,50100000
0,0,0,5300000,17900000,6,678,3600000,0,23000000
2,1,1,9300000,29000000,12,655,4900000,0,44600000
3,1,0,2300000,7400000,2,682,2100000,0,16500000
1,1,0,400000,1300000,6,695,100000,0,1500000
3,1,0,3200000,10800000,4,833,2600000,0,12300000
5,1,1,9400000,35300000,16,302,12900000,1,53600000
1,0,0,2300000,6600000,2,357,2200000,1,12100000
5,1,0,4300000,14500000,12,302,5100000,1,29300000
0,0,1,6200000,22400000,18,873,8200000,0,38100000
0,1,1,7200000,19800000,12,658,7300000,0,45800000
5,0,1,2400000,8700000,18,877,1100000,0,12800000
3,1,0,2900000,6300000,8,648,1400000,0,14400000
1,0,0,1400000,5200000,12,730,700000,0,6600000
4,1,1,2200000,8200000,14,737,1400000,0,16800000
2,0,1,800000,3200000,10,584,700000,1,2300000
0,0,0,600000,1700000,2,621,200000,0,2800000
4,0,1,700000,2700000,16,583,300000,0,3700000
2,1,0,8400000,25900000,16,621,4200000,0,55500000
2,1,0,7100000,21500000,16,610,9300000,0,32100000
4,0,0,5400000,15700000,18,452,6600000,1,32800000
5,0,0,3700000,7300000,18,339,5300000,1,23300000
3,0,1,5200000,15200000,16,650,4100000,0,20500000
4,1,1,200000,700000,10,672,300000,0,700000
3,0,0,500000,1000000,20,501,200000,1,2500000
2,1,1,1800000,5700000,4,809,2400000,0,9400000
5,0,1,9200000,29400000,8,318,5400000,1,57700000
4,1,0,900000,3300000,10,649,1200000,0,2200000
3,1,0,7500000,28300000,12,367,7000000,1,43200000
5,1,0,3000000,11800000,6,847,2300000,0,17500000
5,0,0,7100000,18900000,12,360,8500000,1,31600000
1,0,1,3500000,7200000,2,865,4200000,0,19200000
4,1,0,4900000,18800000,16,880,2600000,0,22100000
1,0,0,4100000,8400000,20,608,4400000,0,19400000
0,0,1,800000,2100000,6,760,600000,0,2000000
3,0,1,1700000,4600000,12,385,1700000,1,8000000
0,0,1,6100000,23300000,12,478,4900000,1,23800000
1,0,1,2100000,7700000,16,327,2300000,1,10200000
0,0,0,3100000,9300000,6,663,3800000,0,10800000
2,1,1,1700000,3500000,20,693,1700000,0,8400000
3,0,0,1700000,5400000,6,710,1700000,0,11300000
4,1,1,4000000,14500000,6,711,4100000,0,19000000
5,0,0,5600000,18400000,8,386,5600000,1,29300000
4,0,1,3900000,11900000,10,855,2800000,0,24400000
4,0,1,6100000,15300000,14,573,8400000,0,24300000
0,0,1,1100000,2800000,18,431,1400000,1,5100000
2,0,0,5500000,14800000,8,364,4500000,1,30100000
4,0,1,1100000,3600000,14,711,600000,0,6600000
4,1,1,400000,900000,20,771,500000,0,3100000
3,0,0,9200000,36400000,18,669,12300000,0,46700000
4,1,1,9300000,27500000,18,338,6600000,1,56900000
1,0,0,1100000,3500000,8,562,500000,0,6700000
3,1,0,5600000,18700000,2,769,4800000,0,33500000
0,0,1,6300000,21500000,8,629,5200000,0,26000000
3,0,0,8800000,18100000,6,699,9400000,0,27000000
0,1,0,8400000,20800000,20,590,10800000,0,46100000
3,0,1,1600000,5700000,4,707,2300000,0,12200000
3,1,1,4500000,11400000,8,391,4500000,1,25200000
5,1,0,6500000,18500000,4,891,7100000,0,40500000
3,0,1,9500000,20600000,2,731,9200000,0,37900000
3,1,0,4700000,16700000,12,775,3500000,0,23000000
5,0,1,9600000,32400000,2,897,6200000,0,45700000
5,0,0,8000000,26700000,20,794,7800000,0,52600000
2,0,0,7700000,16700000,6,555,8500000,0,33900000
1,1,1,3600000,10300000,12,536,2700000,1,19500000
2,1,0,700000,1700000,10,839,900000,0,2800000
0,0,1,1400000,5100000,6,890,1900000,0,11200000
1,0,1,8600000,27900000,20,415,7900000,1,54100000
4,0,0,4700000,15700000,4,868,4800000,0,19600000
3,0,1,2900000,5800000,12,353,3100000,1,21100000
4,1,0,9000000,29000000,16,590,12300000,0,49400000
5,0,1,500000,900000,18,618,400000,0,3200000
2,1,1,700000,1700000,10,539,900000,1,4300000
0,0,0,6800000,27000000,4,429,9400000,0,46100000
2,0,0,1800000,4700000,8,792,2200000,0,9800000
0,1,0,6000000,12400000,2,608,6800000,0,23000000
4,0,1,5400000,21500000,14,555,7500000,0,20100000
5,0,1,8400000,17500000,12,620,5800000,0,54900000
0,0,0,7400000,20900000,6,635,7200000,0,50600000
2,0,0,3200000,12500000,10,457,4300000,1,16300000
1,0,1,5400000,21400000,8,350,6800000,1,23300000
5,0,1,1000000,2500000,14,885,1100000,0,4600000
0,0,0,4400000,14700000,16,638,2700000,0,21100000
1,0,1,3800000,10500000,12,710,2500000,0,20500000
3,1,1,6100000,20900000,18,470,7500000,1,27000000
5,1,1,5500000,17300000,16,874,7900000,0,17600000
5,1,1,500000,1800000,18,411,200000,1,2800000
0,1,1,300000,1100000,2,482,400000,0,1400000
1,0,1,6200000,16900000,2,396,7600000,1,41800000
0,1,0,300000,900000,20,436,200000,1,1000000
0,1,1,6900000,22100000,20,303,6900000,1,40200000
4,0,0,3700000,11400000,12,728,2300000,0,17300000
3,1,1,8800000,28600000,10,775,9600000,0,42200000
5,0,1,8200000,23500000,12,402,5800000,1,40900000
1,1,1,9200000,31500000,18,698,8300000,0,31800000
0,1,0,2400000,7800000,14,665,2900000,0,14300000
4,1,0,4100000,13500000,18,490,2000000,1,24800000
1,0,0,8000000,31900000,12,504,6000000,1,47400000
3,1,1,3600000,8600000,8,790,5200000,0,21100000
1,1,1,700000,2700000,20,669,500000,0,3700000
4,1,0,8300000,30700000,6,381,4600000,1,50700000
0,0,1,5300000,15000000,2,900,5800000,0,24800000
4,0,0,8300000,24900000,16,506,7000000,1,47700000
3,1,1,2500000,8800000,12,538,3300000,1,15800000
3,0,1,5400000,14400000,8,677,3100000,0,39700000
4,0,0,1600000,4900000,8,685,1500000,0,9000000
2,1,0,2400000,6200000,12,860,1100000,0,18100000
5,1,0,6300000,14800000,6,608,5400000,0,48400000
4,0,1,2500000,5300000,10,540,1700000,1,12200000
0,0,1,7500000,16800000,16,492,11100000,1,51700000
3,1,0,2900000,8500000,14,834,1800000,0,14500000
3,0,1,1000000,3500000,16,834,700000,0,5500000
2,0,1,8600000,28800000,8,890,7200000,0,50400000
1,1,0,300000,1100000,12,443,200000,1,2200000
5,1,0,2300000,5700000,18,329,2700000,1,13800000
2,1,1,2400000,5400000,12,739,3000000,0,7800000
5,0,1,9800000,30300000,6,867,7600000,0,67000000
2,1,0,8100000,24800000,6,307,10500000,1,35300000
3,0,0,6700000,15500000,18,492,9400000,1,30400000
1,1,1,8400000,24700000,18,698,12200000,0,68900000
